FPR,TPR,Model,Phase,AUC
0.02646868947708199,0.11952191235059761,Random Forest,Phase 1,0.7301652010421837
0.02711426726920594,0.11952191235059761,Random Forest,Phase 1,0.7301652010421837
0.02711426726920594,0.12350597609561753,Random Forest,Phase 1,0.7301652010421837
0.02775984506132989,0.12350597609561753,Random Forest,Phase 1,0.7301652010421837
0.02775984506132989,0.12749003984063745,Random Forest,Phase 1,0.7301652010421837
0.029051000645577793,0.12749003984063745,Random Forest,Phase 1,0.7301652010421837
0.029051000645577793,0.13147410358565736,Random Forest,Phase 1,0.7301652010421837
0.030987734021949646,0.13147410358565736,Random Forest,Phase 1,0.7301652010421837
0.030987734021949646,0.1394422310756972,Random Forest,Phase 1,0.7301652010421837
0.03357004519044545,0.1394422310756972,Random Forest,Phase 1,0.7301652010421837
0.03357004519044545,0.14741035856573706,Random Forest,Phase 1,0.7301652010421837
0.036152356358941255,0.14741035856573706,Random Forest,Phase 1,0.7301652010421837
0.036152356358941255,0.15139442231075698,Random Forest,Phase 1,0.7301652010421837
0.036797934151065206,0.15139442231075698,Random Forest,Phase 1,0.7301652010421837
0.036797934151065206,0.1553784860557769,Random Forest,Phase 1,0.7301652010421837
0.03744351194318916,0.1553784860557769,Random Forest,Phase 1,0.7301652010421837
0.03744351194318916,0.1593625498007968,Random Forest,Phase 1,0.7301652010421837
0.039380245319561004,0.1593625498007968,Random Forest,Phase 1,0.7301652010421837
0.039380245319561004,0.16334661354581673,Random Forest,Phase 1,0.7301652010421837
0.04325371207230471,0.16334661354581673,Random Forest,Phase 1,0.7301652010421837
0.04325371207230471,0.16733067729083664,Random Forest,Phase 1,0.7301652010421837
0.04777275661717237,0.16733067729083664,Random Forest,Phase 1,0.7301652010421837
0.04777275661717237,0.17131474103585656,Random Forest,Phase 1,0.7301652010421837
0.04841833440929632,0.17131474103585656,Random Forest,Phase 1,0.7301652010421837
0.04841833440929632,0.1752988047808765,Random Forest,Phase 1,0.7301652010421837
0.04970948999354422,0.1752988047808765,Random Forest,Phase 1,0.7301652010421837
0.04970948999354422,0.17928286852589642,Random Forest,Phase 1,0.7301652010421837
0.05422853453841188,0.17928286852589642,Random Forest,Phase 1,0.7301652010421837
0.05422853453841188,0.18725099601593626,Random Forest,Phase 1,0.7301652010421837
0.05487411233053583,0.18725099601593626,Random Forest,Phase 1,0.7301652010421837
0.05487411233053583,0.19123505976095617,Random Forest,Phase 1,0.7301652010421837
0.057456423499031635,0.19123505976095617,Random Forest,Phase 1,0.7301652010421837
0.057456423499031635,0.1952191235059761,Random Forest,Phase 1,0.7301652010421837
0.05874757908327954,0.1952191235059761,Random Forest,Phase 1,0.7301652010421837
0.05874757908327954,0.20318725099601595,Random Forest,Phase 1,0.7301652010421837
0.06132989025177534,0.20318725099601595,Random Forest,Phase 1,0.7301652010421837
0.06132989025177534,0.20717131474103587,Random Forest,Phase 1,0.7301652010421837
0.06197546804389929,0.20717131474103587,Random Forest,Phase 1,0.7301652010421837
0.06197546804389929,0.21115537848605578,Random Forest,Phase 1,0.7301652010421837
0.0645577792123951,0.21115537848605578,Random Forest,Phase 1,0.7301652010421837
0.0645577792123951,0.2151394422310757,Random Forest,Phase 1,0.7301652010421837
0.065848934796643,0.2151394422310757,Random Forest,Phase 1,0.7301652010421837
0.065848934796643,0.21912350597609562,Random Forest,Phase 1,0.7301652010421837
0.0671400903808909,0.21912350597609562,Random Forest,Phase 1,0.7301652010421837
0.0671400903808909,0.22310756972111553,Random Forest,Phase 1,0.7301652010421837
0.07036797934151065,0.22310756972111553,Random Forest,Phase 1,0.7301652010421837
0.07036797934151065,0.23107569721115537,Random Forest,Phase 1,0.7301652010421837
0.07165913492575855,0.23107569721115537,Random Forest,Phase 1,0.7301652010421837
0.07165913492575855,0.2350597609561753,Random Forest,Phase 1,0.7301652010421837
0.07295029051000645,0.2350597609561753,Random Forest,Phase 1,0.7301652010421837
0.07295029051000645,0.23904382470119523,Random Forest,Phase 1,0.7301652010421837
0.07359586830213041,0.23904382470119523,Random Forest,Phase 1,0.7301652010421837
