Model,Metric,Value
Baseline (Median),MAE,4.818092772384035
Baseline (Median),R2 Score,0.9423949103875927
BayesianRidge,MAE,4.019753279121895
BayesianRidge,R2 Score,0.9083712873822529
DecisionTree,MAE,3.6091663593876153
DecisionTree,R2 Score,0.9590579941271437
RandomForest,MAE,3.1693196560870023
RandomForest,R2 Score,0.9702809820129419
ExtraTrees,MAE,3.074478105642585
ExtraTrees,R2 Score,0.9722941769924384
KNN,MAE,3.7840183438024124
KNN,R2 Score,0.9606003539818342
