Strategy,AUC,Recall (F2),Accuracy,Diff vs Base
Baseline (Median),0.7301652010421837,0.7450199203187251,0.635,0.0
BayesianRidge,0.7031023742345016,0.8565737051792829,0.4922222222222222,-0.027062826807682128
DecisionTree,0.7046250118956068,0.900398406374502,0.43222222222222223,-0.025540189146576964
RandomForest,0.7034495973497874,0.848605577689243,0.4855555555555556,-0.02671560369239634
ExtraTrees,0.6981486577897577,0.9043824701195219,0.4266666666666667,-0.03201654325242609
KNN,0.698837959974177,0.7689243027888446,0.5761111111111111,-0.03132724106800677
